"","countryCode","stateProvince","individualCount","Latitude","Longitude","year","day","month","year_1","X10"
"21927","CR","San José",1,9.496133,-84.0479,2019-02-16,16,2,2019,NA
"21928","US","Ohio",1,41.397633,-81.385796,2019-05-11,11,5,2019,NA
"21929","US","Illinois",1,41.4768,-87.5333,2019-05-11,11,5,2019,NA
"21930","US","Texas",1,29.2169,-94.9349,2019-04-26,26,4,2019,NA
"21931","US","Tennessee",1,36.0603,-86.8017,2018-09-13,13,9,2018,NA
"21932","US","Wisconsin",2,44.688236,-89.40355,2019-06-13,13,6,2019,NA
"21933","US","Florida",1,26.10616,-80.131874,2019-10-20,20,10,2019,NA
"21934","HN","Choluteca",1,13.376071,-86.91633,2019-11-09,9,11,2019,NA
"21935","US","Tennessee",1,35.07858,-85.387054,2018-10-01,1,10,2018,NA
"21936","CR","San José",1,9.643991,-83.85084,2018-02-24,24,2,2018,"COORDINATE_ROUNDED"
"21937","CA","Ontario",1,41.96962,-82.53554,2018-05-16,16,5,2018,NA
"21938","US","Ohio",1,41.62771,-83.19189,2018-05-10,10,5,2018,NA
"21939","CA","Ontario",1,44.408127,-81.47295,2018-05-26,26,5,2018,NA
"21940","US","Tennessee",1,35.13395,-89.61994,2018-05-03,3,5,2018,NA
"21941","US","Iowa",1,41.72991,-91.55551,2018-09-01,1,9,2018,NA
"21942","US","Minnesota",1,44.468998,-92.29051,2018-05-06,6,5,2018,NA
"21943","CR","Puntarenas",1,10.21229,-84.67022,2019-01-16,16,1,2019,NA
"21944","US","Texas",1,30.467365,-97.77713,2019-05-02,2,5,2019,NA
"21945","US","Wisconsin",2,45.615067,-92.38683,2018-06-21,21,6,2018,NA
"21946","US","Missouri",1,37.201004,-92.99567,2018-05-07,7,5,2018,NA
"21947","US","Wisconsin",3,45.581223,-91.28765,2019-06-30,30,6,2019,NA
"21948","CA","Quebec",1,45.67338,-73.69552,2018-05-16,16,5,2018,NA
"21949","CR","Alajuela",1,9.943458,-84.38948,2018-03-12,12,3,2018,NA
"21950","US","Illinois",2,42.143696,-88.07787,2019-05-15,15,5,2019,NA
"21951","CR","Alajuela",2,10.884893,-84.788704,2019-10-23,23,10,2019,NA
"21952","CR","Alajuela",1,10.436899,-84.72261,2018-11-11,11,11,2018,NA
"21953","US","Florida",1,28.082363,-80.57207,2019-09-27,27,9,2019,NA
"21954","CR","Puntarenas",1,8.785841,-82.96085,2019-01-17,17,1,2019,NA
"21955","CR","Puntarenas",1,10.307843,-84.80514,2019-03-07,7,3,2019,NA
"21956","US","Michigan",1,44.256985,-83.44568,2018-05-16,16,5,2018,NA
"21957","US","Wisconsin",1,45.7938,-89.546555,2018-06-06,6,6,2018,NA
"21958","US","Minnesota",1,47.1622,-94.7639,2019-05-24,24,5,2019,NA
"21959","US","Wisconsin",1,46.62307,-91.88825,2018-06-20,20,6,2018,NA
"21960","CO","Risaralda",2,5.352581,-75.879524,2019-01-07,7,1,2019,"COORDINATE_ROUNDED"
"21961","BZ","Cayo",1,17.077871,-89.0883,2019-01-02,2,1,2019,NA
"21962","HN","Santa Bárbara",1,14.797082,-88.00512,2018-01-28,28,1,2018,NA
"21963","CR","Puntarenas",1,8.792118,-82.9733,2018-11-01,1,11,2018,NA
"21964","US","Minnesota",1,44.97556,-92.90414,2019-05-17,17,5,2019,NA
"21965","CA","Ontario",1,44.779682,-76.23906,2018-05-10,10,5,2018,NA
"21966","CR","Alajuela",1,10.456752,-84.65193,2018-12-28,28,12,2018,NA
"21967","US","Texas",1,30.45,-97.68012,2019-05-05,5,5,2019,NA
"21968","US","Minnesota",2,47.589146,-93.96898,2018-06-28,28,6,2018,NA
"21969","US","Illinois",2,42.2116,-87.9289,2019-05-17,17,5,2019,NA
"21970","US","Indiana",1,38.22142,-86.37693,2019-04-29,29,4,2019,NA
"21971","US","Illinois",1,42.203194,-88.09302,2018-05-06,6,5,2018,NA
"21972","CR","Alajuela",2,10.475152,-84.76118,2019-12-16,16,12,2019,NA
"21973","CA","Quebec",1,45.08849,-74.21634,2019-05-30,30,5,2019,NA
"21974","CA","Ontario",1,45.23519,-81.649704,2018-05-24,24,5,2018,NA
"21975","CA","Manitoba",1,49.86687,-97.36827,2018-08-27,27,8,2018,NA
"21976","US","Kansas",1,38.7977,-94.69102,2018-05-05,5,5,2018,NA
"21977","US","Wisconsin",1,43.051785,-89.3171,2018-05-04,4,5,2018,NA
"21978","US","Indiana",1,41.633736,-87.05429,2018-05-16,16,5,2018,NA
"21979","CR","Alajuela",1,10.70917,-84.988945,2019-03-14,14,3,2019,NA
"21980","US","Pennsylvania",1,42.126884,-80.14315,2019-05-11,11,5,2019,NA
"21981","CR","Alajuela",1,10.884893,-84.788704,2018-02-10,10,2,2018,NA
"21982","US","New Jersey",1,41.069542,-74.46374,2018-05-24,24,5,2018,NA
"21983","US","Missouri",1,36.2724,-89.62467,2019-10-09,9,10,2019,NA
